InternshipID,StudiesID,StartDate
1,1,2016-03-29 00:27:58
2,2,2024-05-30 00:27:58
3,3,2015-05-09 00:27:58
4,4,2014-02-17 00:27:58
5,5,2016-02-17 00:27:58
6,6,2023-04-26 00:27:58
7,7,2021-01-31 00:27:58
8,8,2017-07-08 00:27:58
9,9,2024-08-31 00:27:58
10,10,2018-11-06 00:27:58
11,11,2021-12-22 00:27:58
12,12,2014-12-31 00:27:58
13,13,2018-06-24 00:27:58
14,14,2016-10-02 00:27:58
15,15,2022-05-21 00:27:58
16,16,2024-05-19 00:27:58
17,17,2022-02-24 00:27:58
18,18,2015-05-08 00:27:58
19,19,2019-08-06 00:27:58
20,20,2021-05-06 00:27:58
21,21,2020-11-01 00:27:58
22,22,2023-01-28 00:27:58
23,23,2018-10-05 00:27:58
24,24,2020-07-31 00:27:58
25,25,2024-08-03 00:27:58
26,26,2020-01-07 00:27:58
27,27,2016-04-27 00:27:58
28,28,2014-03-31 00:27:58
29,29,2017-12-02 00:27:58
30,30,2017-01-20 00:27:58
31,31,2015-05-30 00:27:58
32,32,2021-06-18 00:27:58
33,33,2020-06-29 00:27:58
34,34,2015-01-02 00:27:58
35,35,2024-12-21 00:27:58
36,36,2024-05-31 00:27:58
37,37,2018-03-02 00:27:58
38,38,2020-11-05 00:27:58
39,39,2022-05-24 00:27:58
40,40,2014-04-06 00:27:58
41,41,2022-01-10 00:27:58
42,42,2019-06-19 00:27:58
43,43,2017-12-24 00:27:58
44,44,2024-02-26 00:27:58
45,45,2021-01-29 00:27:58
46,46,2023-12-04 00:27:58
47,47,2017-03-30 00:27:58
48,48,2017-02-23 00:27:58
49,49,2014-12-01 00:27:58
50,50,2016-06-02 00:27:58
